codigo;provincia
1;Araba/Alava
1;Araba/Alava
2;Albacete
3;Alacant/Alicante
4;Almeria
33;Asturias
5;Avila
6;Badajoz
8;Barcelona
48;Bizkaia
9;Burgos
10;Caceres
11;Cadiz
39;Cantabria
12;Castellon/Castellon
51;Ceuta
13;Ciudad Real
14;Cordoba
15;A Coruna
16;Cuenca
17;Girona
18;Granada
19;Guadalajara
20;Gipuzkoa
21;Huelva
22;Huesca
71;Isla de Menorca
72;Isla de Mallorca
73;Islas de Ibiza y Formentera
351;Isla de Lanzarote
352;Isla de Fuerteventura
353;Isla de Gran Canaria
381;Isla de Tenerife
382;Isla de La Gomera
383;Isla de La Palma
384;Isla de El Hierro
23;Jaen
24;Leon
25;Lleida
27;Lugo
28;Madrid
29;Malaga
52;Melilla
30;Murcia
31;Navarra
32;Ourense
34;Palencia
36;Pontevedra
26;La Rioja
37;Salamanca
40;Segovia
41;Sevilla
42;Soria
43;Tarragona
44;Teruel
45;Toledo
46;Valencia
47;Valladolid
49;Zamora
50;Zaragoza
